NO RVI,TYPE,PUBLIC PLACE ID,DESCRIPTION,ADDRESSE,More Information,Borough,Latitude,Longitude,Altitude
2938,ECOLE,ACADEMIEPP,Academie Premiers Pas,5845 Couture BV Porte principale SAINT-LEONARD H3A3S1,Daycare First Steps Academy.  Via the main entrance.,SAINT-LEONARD,45.5931,-73.587,100
2942,ECOLE,ACAROBRVL,Academie Roberval,1275 Jarry RU E MONTREAL (VILLERAY/ST-MICHEL/PARC EXT) H1Z2C2,Roberval Academy. Via the main entrance.,VILLERAY,45.5556,-73.617,100
1337,BUREAU,ACCESMTL,Acces Montreal Rosemont-Petite-Patrie,5650 D'Iberville RU Acces Montreal MONTREAL (ROSEMONT) H3X0A3,Rosemont-Petite-Patrie Montreal Acces. Via the main entrance at the Pictogram TA.,ROSEMONT,45.5585,-73.5901,100
4211,ASSOC,ACCBONNEAU,Acceuil Bonneau,427 de la Commune RU E MONTREAL (VILLE-MARIE) H3A1A1,Accueil Bonneau. Via the main entrance.,VILLE-MARIE,45.5126,-73.554,100
1208,RESIDENC,ANIHONTOWE,Alexis Nihon Tower,4000 De Maisonneuve BV O Tour Plaza WESTMOUNT H1J1H9,Plaza Alexis Nihon Tower EMB/DEB by the door on Wood street,WESTMOUNT,45.4888,-73.587,100
4412,MARCHE,AMOURACTIO,Alimentation Amour en Action,5845 Couture BV SAINT-LEONARD H1G6E2,Food distribution/Love in action. Via the back door.,SAINT-LEONARD,45.5931,-73.587,100
2930,ECOLE,ILUSANNEXE,Annexe de l'ecole Irenee-Lussier,4240 de Bordeaux RU MONTREAL (PLATEAU MONT-ROYAL) H2H1Z5,Annexe de l'ecole Irenee-Lussier VIA the parking,PLATEAU MONT-ROYAL,45.526,-73.58,100
3618,MEDICAL,CLETHBRIDA,Annexe du Centre Constance Lethbridge,16777 Hymus BV KIRKLAND H9R6B3,Constance Lethbridge rehabillitation center ( Kirkland annexe ) . Via the main entrance,KIRKLAND,45.4509,-73.8643,100
4730,ARENA,ARENAAHU,Arena Ahuntsic,10560 Saint-Hubert RU MONTREAL (AHUNTSIC/CARTIERVILLE) H3L3R7,"Ahuntsic Arena. Via the parking, at the main entrance, north side of the building.",AHUNTSIC,45.5539,-73.667,100
4139,ARENA,ARENABDURN,Arena Bill Durnam,4988 Vezina RU MONTREAL (COTE-DES-NEIGES/NDG) H1H1H1,Bill Durnam arena . Via the main entrance,COTE-DES-NEIGES,45.496,-73.6247,100
4110,ARENA,ARENABOBBI,Arena Bob-Birnie,58 Maywood CH POINTE-CLAIRE H9H2X7,Bob-Birnie Arena . Via the main entrance,POINTE-CLAIRE,45.4486,-73.8167,100
4162,ARENA,ARECOLLJAB,Arena College John Abbott,21275 Lakeshore CH Arena SAINTE-ANNE-DE-BELLEVUE H4L0A1,John Abbott College Arena . Via the entrance by Maple street,SAINTE-ANNE-DE-BELLEVUE,45.4069,-73.9512,100
4186,ARENA,ARENAMBROD,Arena Martin Brodeur,5300 Robert BV SAINT-LEONARD H1R1R1,Martin Brodeur Arena . Via the main entrance,SAINT-LEONARD,45.5931,-73.587,100
4141,ARENA,ARENAMRICH,Arena Maurice Richard,2800 Viau RU MONTREAL (HOCHELAGA/MAISONNEUVE) H1V3J3,Maurice Richard Arena . Via Pierre-de-Coubertin street at the back of the building,HOCHELAGA,45.5498,-73.5416,100
4175,ARENA,ARENAMCCON,Arena Mc Connel Universite McGill,3833 University RU MONTREAL (VILLE-MARIE) H3A2B4,McConnell Arena . Via near the fence in the parking,VILLE-MARIE,45.5126,-73.554,100
4218,ARENA,ARENANORMA,Arena Michel-Normandin,850 Emile-Journault AV MONTREAL (AHUNTSIC/CARTIERVILLE) H1V3J3,Michel-Normandin arena . Via the main entrance,AHUNTSIC,45.5539,-73.667,100
6106,ARDI,AMDI,Ass.de Mtl pour la deficience intellect,633 Cremazie BV E MONTREAL (AHUNTSIC/CARTIERVILLE) H2M1L4,Montreal Association for the Intellectual Disability. At the door of 8720 Rue Foucher (TA pictogram).,AHUNTSIC,45.5539,-73.667,100
4205,ASSOC,14115,Association de Loisirs  Alpha,14115 Prince-Arthur RU Loisirs MONTREAL (POINTE-AUX-TREMBLES/RDP) H1B0A7,Alpha Recreational Centre. Via the main entrance at the front.,POINTE-AUX-TREMBLES,45.6473,-73.494,100
4200,ASSOC,ASSQDPA,Association des personnes Aphasiques,4450 Saint-Hubert RU APA MONTREAL (PLATEAU MONT-ROYAL) H2J3C5,Aphasic Association of Quebec. Via the 4449 Berri street at the back of the building.,PLATEAU MONT-ROYAL,45.526,-73.58,100
4204,ASSOC,EXAEQUO,Association Exaequo,3680 Jeanne-Mance RU MONTREAL (PLATEAU MONT-ROYAL) H1B0A7,Association Exaequo. Jeanne-Mance entrance.,PLATEAU MONT-ROYAL,45.526,-73.58,100
4201,ASSOC,ASSMTLAVEU,Association Mtl pour Aveugles,7010 Sherbrooke RU O MONTREAL (COTE-DES-NEIGES/NDG) H4B1R2,Montreal Association for the Blind.  Via the main entrance.,COTE-DES-NEIGES,45.496,-73.6247,100
4202,ASSOC,ASSMETHNIQ,Association Multi Ethnique Pers. Hand.,6462 Saint-Laurent BV MONTREAL (ROSEMONT) H1T1W6,Multi-ethnic association for the disabled. Via the main entrance.,ROSEMONT,45.5585,-73.5901,100
4214,ASSOC,ATLBERRI,Association Personnes Aphasiques Berri,5050 Berri RU MONTREAL (PLATEAU MONT-ROYAL) H4R1S1,Berri Aphasia Association. Via the entrance at 5050 Berri street.,PLATEAU MONT-ROYAL,45.526,-73.58,100
4192,LOISIRS,ATPCHARBON,Atelier Pierre Charbonneau,3030 Viau RU MONTREAL (HOCHELAGA/MAISONNEUVE) H1W2Y9,"Atelier Pierre Charbonneau . Via the parking lot on 3000 Viau street , north of the building",HOCHELAGA,45.5498,-73.5416,100
4140,STADE,ARENAVERDU,Auditorium de Verdun,4110 LaSalle BV Arena VERDUN H4G2A3,Verdun Auditorium . Via the main entrance,VERDUN,45.4615,-73.5674,100
3801,RELIGION,EGLISENDAM,Basilique Notre-Dame,116 Notre-Dame RU O MONTREAL (VILLE-MARIE) H2Y1T2,Notre Dame Basilica . Via by the ramp in front of 116 Notre-Dame West,VILLE-MARIE,45.5126,-73.554,100
3809,RELIGION,BASILSTPAT,Basilique St-Patrick,460 Rene-Levesque BV O MONTREAL (VILLE-MARIE) H2X1P1,Saint Patrick's Basilica . Via the main entrance,VILLE-MARIE,45.5126,-73.554,100
4749,BIBLIOTH,BIBLIBELVI,Bibliotheque Belleville,10400 De Belleville AV MONTREAL-NORD H1H4Z7,Belleville Library. Via the main entrance.,MONTREAL-NORD,45.6085,-73.6172,100
4750,BIBLIOTH,BIBLIBENNY,Bibliotheque Benny,6400 de Monkland AV Bibliotheque Benny MONTREAL (COTE-DES-NEIGES/NDG) H1X2H7,Benny Library. Via the main entrance of the Cultural Center of Notre-Dame-De-Grace.,COTE-DES-NEIGES,45.496,-73.6247,100
5639,UNVERSIT,BIBLIMCGIL,Bibliotheque de droit Universite McGill,3660 Peel RU Bibliotheque de Droit de U. Mcgill MONTREAL (VILLE-MARIE) H3A0G4,"McGill Universite, librairy of law   Pick and drop; at 1205 DR.Penfield by the entrance with theTA sign on the sidewalk",VILLE-MARIE,45.5126,-73.554,100
4255,BIBLIOTH,BIBLIELOND,Bibliotheque Eleanor London,5851 Cavendish BV Bibliotheque publique Eleanor London COTE-SAINT-LUC H4W1S9,Eleanor London Library. Via the parking lot at the back of the building by de l'Avenue street.,COTE-SAINT-LUC,45.4712,-73.6658,100
2551,BIBLIOTH,BIBLIOFRON,Bibliotheque Frontenac,2550 Ontario RU E MONTREAL (VILLE-MARIE) H2K3L3,Frontenac Library. Via the main entrance.,VILLE-MARIE,45.5126,-73.554,100
4173,BIBLIOTH,BIBLIOMUNI,Bibliotheque Municipale,5955 Bannantyne AV VERDUN H4H1J9,Public Librairy. Via by Brown Avenue.,VERDUN,45.4615,-73.5674,100
4219,BIBLIOTH,BSBELLOW,Bibliotheque Saul-Bellow,3100 Saint-Antoine RU LACHINE H2H1C4,Saul-Bellow Library. Via the rear parking lot.,LACHINE,45.4413,-73.6871,100
4144,LOISIRS,BINGOLACHI,Bingo Lachine,2005 Saint-Antoine RU LACHINE H4X1N4,Lachine Bingo . Via the rear entrance on 20th Avenue,LACHINE,45.4413,-73.6871,100
4163,LOISIRS,BINGOPAT,Bingo Pointe-aux-Trembles,11901 Sherbrooke RU E MONTREAL (POINTE-AUX-TREMBLES/RDP) H4A3K6,Bingo Pointe-aux-Trembles . By the entrance on the back on the east side,POINTE-AUX-TREMBLES,45.6473,-73.494,100
4100,LOISIRS,BIODOME,Biodome de Montreal,3200 Viau RU Biodome MONTREAL (HOCHELAGA/MAISONNEUVE) H1V3J3,Biod̫me .  Via by the P 5 parking Level 1 on 3200 Viau street,HOCHELAGA,45.5498,-73.5416,100
5100,BUREAU,BOURSEMTL,Bourse de Montreal,800 du Square-Victoria RU Bourse MONTREAL (VILLE-MARIE) H1V2A1,Montreal Stock Exchange. Via the main entrance at the ramp on Gauvin Street.,VILLE-MARIE,45.5126,-73.554,100
4172,LOISIRS,BOWBELVEDE,Bowling Belvedere,980 25e AV LACHINE H8S3Y1,Belvedere Bowling . Via the main entrance,LACHINE,45.4413,-73.6871,100
1408,RESTO,MARCOPOLO,Brasserie Marco Polo,7985 Marco-Polo AV MONTREAL (POINTE-AUX-TREMBLES/RDP) H1B4C8,Brasserie Marco-Polo . Via the main entrance,POINTE-AUX-TREMBLES,45.6473,-73.494,100
5016,GOUV,PASSEPORTS,Bureau des passeports,200 Rene-Levesque BV O Bureau de passeports MONTREAL (VILLE-MARIE) H4E2Y2,Passeport office. Via the main entrance.East Door,VILLE-MARIE,45.5126,-73.554,100
3619,MEDICAL,CLINMEDMDP,Bureau Medical Beaumont,1100 Beaumont AV VILLE MONT-ROYAL H3P3H5,Beaumont Medical Clinic. Via the main entrance.,MONT-ROYAL,45.5196,-73.6386,100
1358,BUREAU,STCUMTA,Bureau Service Clientele TA,3111 Jarry RU E MONTREAL (VILLERAY/ST-MICHEL/PARC EXT) H1Z2C2,STM Paratransit Customer Service Office. Via the entrance to the West side of the building.,VILLERAY,45.5556,-73.617,100
